locationId,rate,2015,2016,2017
06147,Total de víctimas de lesiones culposas en siniestros viales,39,36,95
06147,Total de víctimas de violaciones,0,1,1
06147,Total de víctimas de otros delitos contra la integridad sexual,6,0,0
06147,Total de hechos de amenazas,97,40,49
06147,Total de delitos contra la propiedad,252,177,135
06147,Total de hechos de robos,43,32,33
06147,Total de hechos de hurtos,80,78,48
06147,Total de víctimas de trata de personas por provincia de origen,,,
06147,Total de víctimas de trata de personas por provincia de captación,,,
06154,Total de hechos delictivos,179,108,129
06154,Total de víctimas de delitos contra las personas,65,32,49
06154,Total de víctimas de homicidios dolosos,0,0,0
06154,Total de víctimas de lesiones dolosas,32,10,25
06154,Total de víctimas de muertes en siniestros viales,0,2,0
06154,Total de víctimas de lesiones culposas en siniestros viales,6,18,20
06154,Total de víctimas de violaciones,0,0,3
06154,Total de víctimas de otros delitos contra la integridad sexual,3,1,0
06154,Total de hechos de amenazas,40,17,16
06154,Total de delitos contra la propiedad,66,44,52
06154,Total de hechos de robos,7,4,4
06154,Total de hechos de hurtos,30,19,29
06154,Total de víctimas de trata de personas por provincia de origen,,,
06154,Total de víctimas de trata de personas por provincia de captación,,,
06161,Total de hechos delictivos,479,397,451
06161,Total de víctimas de delitos contra las personas,134,187,195
06161,Total de víctimas de homicidios dolosos,1,0,1
06161,Total de víctimas de lesiones dolosas,46,72,81
06161,Total de víctimas de muertes en siniestros viales,6,5,5
06161,Total de víctimas de lesiones culposas en siniestros viales,34,105,106
06161,Total de víctimas de violaciones,0,0,2
06161,Total de víctimas de otros delitos contra la integridad sexual,4,2,1
06161,Total de hechos de amenazas,162,52,52
06161,Total de delitos contra la propiedad,139,118,109
06161,Total de hechos de robos,24,16,9
06161,Total de hechos de hurtos,45,35,22
06161,Total de víctimas de trata de personas por provincia de origen,,,
06161,Total de víctimas de trata de personas por provincia de captación,,,
06168,Total de hechos delictivos,250,121,128
06168,Total de víctimas de delitos contra las personas,39,32,31
06168,Total de víctimas de homicidios dolosos,0,1,1
06168,Total de víctimas de lesiones dolosas,28,12,15
06168,Total de víctimas de muertes en siniestros viales,0,1,2
06168,Total de víctimas de lesiones culposas en siniestros viales,11,16,13
06168,Total de víctimas de violaciones,0,4,3
06168,Total de víctimas de otros delitos contra la integridad sexual,6,0,1
06168,Total de hechos de amenazas,31,18,20
06168,Total de delitos contra la propiedad,48,39,32
06168,Total de hechos de robos,11,13,10
06168,Total de hechos de hurtos,16,19,13
06168,Total de víctimas de trata de personas por provincia de origen,,,
06168,Total de víctimas de trata de personas por provincia de captación,,,
06210,Total de hechos delictivos,902,673,801
06210,Total de víctimas de delitos contra las personas,345,256,365
06210,Total de víctimas de homicidios dolosos,0,2,0
06210,Total de víctimas de lesiones dolosas,168,89,143
06210,Total de víctimas de muertes en siniestros viales,20,16,11
06210,Total de víctimas de lesiones culposas en siniestros viales,147,122,201
06210,Total de víctimas de violaciones,0,3,3
06210,Total de víctimas de otros delitos contra la integridad sexual,15,2,0
06210,Total de hechos de amenazas,151,95,118
06210,Total de delitos contra la propiedad,326,220,244
06210,Total de hechos de robos,95,75,58
06210,Total de hechos de hurtos,111,78,94
06210,Total de víctimas de trata de personas por provincia de origen,,,
06210,Total de víctimas de trata de personas por provincia de captación,,,
06217,Total de hechos delictivos,1104,983,1222
06217,Total de víctimas de delitos contra las personas,292,203,206
06217,Total de víctimas de homicidios dolosos,0,1,1
06217,Total de víctimas de lesiones dolosas,124,80,107
06217,Total de víctimas de muertes en siniestros viales,53,6,2
06217,Total de víctimas de lesiones culposas en siniestros viales,105,95,83
06217,Total de víctimas de violaciones,0,3,3
06217,Total de víctimas de otros delitos contra la integridad sexual,36,1,0
06217,Total de hechos de amenazas,156,111,143
06217,Total de delitos contra la propiedad,471,461,507
06217,Total de hechos de robos,148,180,199
06217,Total de hechos de hurtos,148,140,156
06217,Total de víctimas de trata de personas por provincia de origen,,,
06217,Total de víctimas de trata de personas por provincia de captación,,,
06224,Total de hechos delictivos,989,877,844
06224,Total de víctimas de delitos contra las personas,206,247,263
06224,Total de víctimas de homicidios dolosos,1,2,0
06224,Total de víctimas de lesiones dolosas,108,106,86
06224,Total de víctimas de muertes en siniestros viales,16,10,13
06224,Total de víctimas de lesiones culposas en siniestros viales,67,102,158
06224,Total de víctimas de violaciones,4,3,5
06224,Total de víctimas de otros delitos contra la integridad sexual,21,2,5
06224,Total de hechos de amenazas,165,123,91
